source,target,weight,type
0,2,0.25141487906640897,correlation
2,0,0.25141487906640897,correlation
0,6,0.22873076798755998,correlation
6,0,0.22873076798755998,correlation
1,9,0.25612915758306115,correlation
9,1,0.25612915758306115,correlation
1,17,0.21163741160860822,correlation
17,1,0.21163741160860822,correlation
2,7,0.2285791446936446,correlation
7,2,0.2285791446936446,correlation
2,10,0.2775152048694085,correlation
10,2,0.2775152048694085,correlation
2,13,0.22669234235166688,correlation
13,2,0.22669234235166688,correlation
2,17,0.2101617112495817,correlation
17,2,0.2101617112495817,correlation
2,19,0.25512369501983057,correlation
19,2,0.25512369501983057,correlation
2,21,0.24476588629150603,correlation
21,2,0.24476588629150603,correlation
2,31,0.41485326948340234,correlation
31,2,0.41485326948340234,correlation
2,33,0.32885108381127376,correlation
33,2,0.32885108381127376,correlation
3,4,0.7745525210458523,correlation
4,3,0.7745525210458523,correlation
3,5,0.5209425507418444,correlation
5,3,0.5209425507418444,correlation
3,7,0.20029133010670538,correlation
7,3,0.20029133010670538,correlation
4,5,0.839225758348521,correlation
5,4,0.839225758348521,correlation
4,19,0.22973010307763217,correlation
19,4,0.22973010307763217,correlation
5,19,0.45477985510141855,correlation
19,5,0.45477985510141855,correlation
5,27,0.2031637100825397,correlation
27,5,0.2031637100825397,correlation
7,8,0.870753093614247,correlation
8,7,0.870753093614247,correlation
7,10,0.677170487924692,correlation
10,7,0.677170487924692,correlation
7,11,0.33011010294426946,correlation
11,7,0.33011010294426946,correlation
7,13,0.2305196081812123,correlation
13,7,0.2305196081812123,correlation
7,17,0.36952159212065777,correlation
17,7,0.36952159212065777,correlation
7,18,0.24290182722671225,correlation
18,7,0.24290182722671225,correlation
7,19,0.5718642663462948,correlation
19,7,0.5718642663462948,correlation
7,21,0.48216187520013143,correlation
21,7,0.48216187520013143,correlation
7,23,0.37267955294229627,correlation
23,7,0.37267955294229627,correlation
7,24,0.2452210606759434,correlation
24,7,0.2452210606759434,correlation
7,29,0.3233484605714449,correlation
29,7,0.3233484605714449,correlation
7,30,0.23342791991339534,correlation
30,7,0.23342791991339534,correlation
7,32,0.2691705683759824,correlation
32,7,0.2691705683759824,correlation
7,33,0.4627484668976909,correlation
33,7,0.4627484668976909,correlation
7,34,0.2631981799987906,correlation
34,7,0.2631981799987906,correlation
8,10,0.4046032041554036,correlation
10,8,0.4046032041554036,correlation
8,11,0.529061712856315,correlation
11,8,0.529061712856315,correlation
8,13,0.3324401542676792,correlation
13,8,0.3324401542676792,correlation
8,17,0.4124497564741274,correlation
17,8,0.4124497564741274,correlation
8,21,0.43235423979303234,correlation
21,8,0.43235423979303234,correlation
8,25,0.3027798001323493,correlation
25,8,0.3027798001323493,correlation
8,26,0.35408392834295666,correlation
26,8,0.35408392834295666,correlation
8,29,0.25046769118604184,correlation
29,8,0.25046769118604184,correlation
8,30,0.22288683641125698,correlation
30,8,0.22288683641125698,correlation
8,34,0.22660660041585623,correlation
34,8,0.22660660041585623,correlation
9,10,0.20114131414064831,correlation
10,9,0.20114131414064831,correlation
9,13,0.21382972417736013,correlation
13,9,0.21382972417736013,correlation
9,19,0.6699098899473476,correlation
19,9,0.6699098899473476,correlation
9,21,0.31893886458615595,correlation
21,9,0.31893886458615595,correlation
9,26,0.42121182147504316,correlation
26,9,0.42121182147504316,correlation
9,31,0.32569577975383773,correlation
31,9,0.32569577975383773,correlation
9,33,0.22895918987727362,correlation
33,9,0.22895918987727362,correlation
10,11,0.39874956305805126,correlation
11,10,0.39874956305805126,correlation
10,18,0.23933260877109022,correlation
18,10,0.23933260877109022,correlation
10,19,0.3633572153978015,correlation
19,10,0.3633572153978015,correlation
10,20,0.2066802096579402,correlation
20,10,0.2066802096579402,correlation
10,21,0.4575116879837668,correlation
21,10,0.4575116879837668,correlation
10,23,0.4911805288698599,correlation
23,10,0.4911805288698599,correlation
10,24,0.2943325893531366,correlation
24,10,0.2943325893531366,correlation
10,29,0.25393813842614765,correlation
29,10,0.25393813842614765,correlation
10,31,0.3037721170031947,correlation
31,10,0.3037721170031947,correlation
10,34,0.22580280827380214,correlation
34,10,0.22580280827380214,correlation
11,17,0.20095154656192923,correlation
17,11,0.20095154656192923,correlation
11,19,0.2617248766339827,correlation
19,11,0.2617248766339827,correlation
11,23,0.24720002582033898,correlation
23,11,0.24720002582033898,correlation
11,31,0.3908083812309993,correlation
31,11,0.3908083812309993,correlation
11,33,0.5300895698098373,correlation
33,11,0.5300895698098373,correlation
12,15,0.4050906420115785,correlation
15,12,0.4050906420115785,correlation
12,16,0.2111294695605122,correlation
16,12,0.2111294695605122,correlation
12,19,0.9380261794370495,correlation
19,12,0.9380261794370495,correlation
12,26,0.532419846037691,correlation
26,12,0.532419846037691,correlation
13,15,0.3525528173196098,correlation
15,13,0.3525528173196098,correlation
13,19,0.4267382861461652,correlation
19,13,0.4267382861461652,correlation
13,20,0.20435280469264877,correlation
20,13,0.20435280469264877,correlation
13,21,0.6866643327500048,correlation
21,13,0.6866643327500048,correlation
13,23,0.2920324703393108,correlation
23,13,0.2920324703393108,correlation
13,25,0.35744678615048475,correlation
25,13,0.35744678615048475,correlation
13,29,0.38604815656057423,correlation
29,13,0.38604815656057423,correlation
13,30,0.5488749507460726,correlation
30,13,0.5488749507460726,correlation
14,18,0.6406334014621001,correlation
18,14,0.6406334014621001,correlation
14,22,0.20569027268832052,correlation
22,14,0.20569027268832052,correlation
14,23,0.4998142714170635,correlation
23,14,0.4998142714170635,correlation
14,24,0.23319366801625846,correlation
24,14,0.23319366801625846,correlation
14,31,0.2435963148379202,correlation
31,14,0.2435963148379202,correlation
14,33,0.21438340219551277,correlation
33,14,0.21438340219551277,correlation
15,17,0.24540434082464802,correlation
17,15,0.24540434082464802,correlation
15,25,0.23952925882343065,correlation
25,15,0.23952925882343065,correlation
15,29,0.35189093914291947,correlation
29,15,0.35189093914291947,correlation
15,30,0.37745144560311344,correlation
30,15,0.37745144560311344,correlation
15,33,0.3754048717303461,correlation
33,15,0.3754048717303461,correlation
16,27,0.24973968247686043,correlation
27,16,0.24973968247686043,correlation
16,28,0.2365170629557665,correlation
28,16,0.2365170629557665,correlation
17,19,0.5197340048650484,correlation
19,17,0.5197340048650484,correlation
17,25,0.20738223003737707,correlation
25,17,0.20738223003737707,correlation
17,26,0.35125551717448683,correlation
26,17,0.35125551717448683,correlation
17,33,0.23399786481431853,correlation
33,17,0.23399786481431853,correlation
18,23,0.5247328120336914,correlation
23,18,0.5247328120336914,correlation
18,24,0.2757117998407764,correlation
24,18,0.2757117998407764,correlation
18,31,0.33918442583521086,correlation
31,18,0.33918442583521086,correlation
18,33,0.2225018559147836,correlation
33,18,0.2225018559147836,correlation
19,21,0.38150885667818957,correlation
21,19,0.38150885667818957,correlation
19,23,0.2339232634394179,correlation
23,19,0.2339232634394179,correlation
19,25,0.9923873126606454,correlation
25,19,0.9923873126606454,correlation
19,31,0.4141166784171369,correlation
31,19,0.4141166784171369,correlation
20,21,0.38537696253283105,correlation
21,20,0.38537696253283105,correlation
21,23,0.44986273038415453,correlation
23,21,0.44986273038415453,correlation
21,25,0.2314907513126761,correlation
25,21,0.2314907513126761,correlation
21,29,0.49671873905759595,correlation
29,21,0.49671873905759595,correlation
21,33,0.39931660987328954,correlation
33,21,0.39931660987328954,correlation
22,33,0.20662247755462376,correlation
33,22,0.20662247755462376,correlation
23,24,0.3877930992934964,correlation
24,23,0.3877930992934964,correlation
23,29,0.2228013820173467,correlation
29,23,0.2228013820173467,correlation
25,29,0.2841383509397711,correlation
29,25,0.2841383509397711,correlation
25,30,0.322077794410671,correlation
30,25,0.322077794410671,correlation
25,31,0.2421034571475876,correlation
31,25,0.2421034571475876,correlation
25,33,0.33525005877360586,correlation
33,25,0.33525005877360586,correlation
26,28,0.23323741041731205,correlation
28,26,0.23323741041731205,correlation
26,30,0.23914330905895745,correlation
30,26,0.23914330905895745,correlation
27,28,0.9493444407034052,correlation
28,27,0.9493444407034052,correlation
27,33,0.25157027555978995,correlation
33,27,0.25157027555978995,correlation
28,33,0.2588987911279889,correlation
33,28,0.2588987911279889,correlation
29,33,0.3088967652718308,correlation
33,29,0.3088967652718308,correlation
31,33,0.410302111974231,correlation
33,31,0.410302111974231,correlation
