source,target,spearman,mi,clinical_prior,weight
0,2,0.2553467633144679,0.0,0,0.2553467633144679
2,0,0.2553467633144679,0.0,0,0.2553467633144679
0,6,0.21387650647833623,0.0,0,0.21387650647833623
6,0,0.21387650647833623,0.0,0,0.21387650647833623
0,19,0.12819986247939386,0.0,0,0.12819986247939386
19,0,0.12819986247939386,0.0,0,0.12819986247939386
0,21,0.15271377066588274,0.0,0,0.15271377066588274
21,0,0.15271377066588274,0.0,0,0.15271377066588274
0,30,0.16161835046342551,0.0,0,0.16161835046342551
30,0,0.16161835046342551,0.0,0,0.16161835046342551
1,6,0.15887622558443568,0.0,1,0.15887622558443568
6,1,0.15887622558443568,0.0,1,0.15887622558443568
1,12,0.40436728200410355,0.0,1,0.40436728200410355
12,1,0.40436728200410355,0.0,1,0.40436728200410355
1,17,0.2024726563549814,0.0,0,0.2024726563549814
17,1,0.2024726563549814,0.0,0,0.2024726563549814
1,27,0.13467182150212764,0.0,0,0.13467182150212764
27,1,0.13467182150212764,0.0,0,0.13467182150212764
1,28,0.12756659910177895,0.0,0,0.12756659910177895
28,1,0.12756659910177895,0.0,0,0.12756659910177895
2,6,0.1223574763369866,0.0,0,0.1223574763369866
6,2,0.1223574763369866,0.0,0,0.1223574763369866
2,9,0.1549602595238132,0.0,0,0.1549602595238132
9,2,0.1549602595238132,0.0,0,0.1549602595238132
2,10,0.19663854646371753,0.0,0,0.19663854646371753
10,2,0.19663854646371753,0.0,0,0.19663854646371753
2,26,0.1702814963221109,0.0,0,0.1702814963221109
26,2,0.1702814963221109,0.0,0,0.1702814963221109
2,31,0.29004137866987606,0.0,0,0.29004137866987606
31,2,0.29004137866987606,0.0,0,0.29004137866987606
2,33,0.19750167081476658,0.0,0,0.19750167081476658
33,2,0.19750167081476658,0.0,0,0.19750167081476658
3,4,0.7806907698859401,0.0,1,0.7806907698859401
4,3,0.7806907698859401,0.0,1,0.7806907698859401
3,5,0.5281368587074143,0.0,1,0.5281368587074143
5,3,0.5281368587074143,0.0,1,0.5281368587074143
3,7,0.13161653485645025,0.0,0,0.13161653485645025
7,3,0.13161653485645025,0.0,0,0.13161653485645025
3,26,0.14621432936140602,0.0,0,0.14621432936140602
26,3,0.14621432936140602,0.0,0,0.14621432936140602
3,29,0.16568327133999816,0.0,0,0.16568327133999816
29,3,0.16568327133999816,0.0,0,0.16568327133999816
4,5,0.865560028060552,0.0,1,0.865560028060552
5,4,0.865560028060552,0.0,1,0.865560028060552
4,19,0.1459644645444222,0.0,0,0.1459644645444222
19,4,0.1459644645444222,0.0,0,0.1459644645444222
4,27,0.18391104449801643,0.0,0,0.18391104449801643
27,4,0.18391104449801643,0.0,0,0.18391104449801643
4,28,0.15574720863821917,0.0,0,0.15574720863821917
28,4,0.15574720863821917,0.0,0,0.15574720863821917
5,16,0.14801776650025175,0.0,0,0.14801776650025175
16,5,0.14801776650025175,0.0,0,0.14801776650025175
5,27,0.23610762829880638,0.0,0,0.23610762829880638
27,5,0.23610762829880638,0.0,0,0.23610762829880638
5,28,0.20831177891510336,0.0,0,0.20831177891510336
28,5,0.20831177891510336,0.0,0,0.20831177891510336
6,12,0.12034983092286719,0.0,0,0.12034983092286719
12,6,0.12034983092286719,0.0,0,0.12034983092286719
6,33,0.15823466375933828,0.0,0,0.15823466375933828
33,6,0.15823466375933828,0.0,0,0.15823466375933828
7,8,0.8175299328044628,0.0,1,0.8175299328044628
8,7,0.8175299328044628,0.0,1,0.8175299328044628
7,10,0.6541925204587871,0.0,1,0.6541925204587871
10,7,0.6541925204587871,0.0,1,0.6541925204587871
7,11,0.27516081087365946,0.0,1,0.27516081087365946
11,7,0.27516081087365946,0.0,1,0.27516081087365946
7,16,0.24610246715917658,0.0,0,0.24610246715917658
16,7,0.24610246715917658,0.0,0,0.24610246715917658
7,17,0.35395742049855344,0.0,0,0.35395742049855344
17,7,0.35395742049855344,0.0,0,0.35395742049855344
