source,target,spearman,mi,clinical_prior,weight
0,2,0.2553467633144679,0.0,1,0.7647014892174726
2,0,0.2553467633144679,0.0,1,0.7647014892174726
0,4,0.07315324642822489,0.0,1,0.7647014892174726
4,0,0.07315324642822489,0.0,1,0.7647014892174726
0,6,0.21387650647833623,0.0,1,0.7647014892174726
6,0,0.21387650647833623,0.0,1,0.7647014892174726
0,26,0.0028197942823134942,0.0,1,0.7647014892174726
26,0,0.0028197942823134942,0.0,1,0.7647014892174726
1,6,0.15887622558443568,0.0,1,0.7647014892174726
6,1,0.15887622558443568,0.0,1,0.7647014892174726
1,12,0.40436728200410355,0.0,1,0.7647014892174726
12,1,0.40436728200410355,0.0,1,0.7647014892174726
2,6,0.1223574763369866,0.0,1,0.7647014892174726
6,2,0.1223574763369866,0.0,1,0.7647014892174726
2,21,0.16651029041437126,0.0,1,0.7647014892174726
21,2,0.16651029041437126,0.0,1,0.7647014892174726
2,30,0.10240583248629874,0.0,1,0.7647014892174726
30,2,0.10240583248629874,0.0,1,0.7647014892174726
3,4,0.7806907698859401,0.0,1,0.7806907698859401
4,3,0.7806907698859401,0.0,1,0.7806907698859401
3,5,0.5281368587074143,0.0,1,0.7647014892174726
5,3,0.5281368587074143,0.0,1,0.7647014892174726
4,5,0.865560028060552,0.0,1,0.865560028060552
5,4,0.865560028060552,0.0,1,0.865560028060552
6,9,0.04576052016671919,0.0,1,0.7647014892174726
9,6,0.04576052016671919,0.0,1,0.7647014892174726
6,11,0.0789400484866844,0.0,1,0.7647014892174726
11,6,0.0789400484866844,0.0,1,0.7647014892174726
7,8,0.8175299328044628,0.0,1,0.8175299328044628
8,7,0.8175299328044628,0.0,1,0.8175299328044628
7,10,0.6541925204587871,0.0,1,0.7647014892174726
10,7,0.6541925204587871,0.0,1,0.7647014892174726
7,11,0.27516081087365946,0.0,1,0.7647014892174726
11,7,0.27516081087365946,0.0,1,0.7647014892174726
7,17,0.35395742049855344,0.0,0,0.35395742049855344
17,7,0.35395742049855344,0.0,0,0.35395742049855344
7,21,0.32927380505883214,0.0,0,0.32927380505883214
21,7,0.32927380505883214,0.0,0,0.32927380505883214
8,10,0.3583681940086493,0.0,1,0.7647014892174726
10,8,0.3583681940086493,0.0,1,0.7647014892174726
8,11,0.4943126679612674,0.0,0,0.4943126679612674
11,8,0.4943126679612674,0.0,0,0.4943126679612674
8,17,0.38880610459590875,0.0,0,0.38880610459590875
17,8,0.38880610459590875,0.0,0,0.38880610459590875
8,21,0.3283999159886479,0.0,1,0.7647014892174726
21,8,0.3283999159886479,0.0,1,0.7647014892174726
9,11,0.09264061897983455,0.0,1,0.7647014892174726
11,9,0.09264061897983455,0.0,1,0.7647014892174726
9,12,0.06707311494355934,0.0,1,0.7647014892174726
12,9,0.06707311494355934,0.0,1,0.7647014892174726
10,11,0.45875958346211543,0.0,1,0.7647014892174726
11,10,0.45875958346211543,0.0,1,0.7647014892174726
10,20,0.13015453838774693,0.0,1,0.7647014892174726
20,10,0.13015453838774693,0.0,1,0.7647014892174726
10,21,0.20570911513095494,0.0,1,0.7647014892174726
21,10,0.20570911513095494,0.0,1,0.7647014892174726
10,23,0.3223564477526343,0.0,0,0.3223564477526343
23,10,0.3223564477526343,0.0,0,0.3223564477526343
10,24,0.26308847918027584,0.0,1,0.7647014892174726
24,10,0.26308847918027584,0.0,1,0.7647014892174726
11,33,0.4766230753755339,0.0,1,0.7647014892174726
33,11,0.4766230753755339,0.0,1,0.7647014892174726
12,19,0.3332778629985673,0.0,0,0.3332778629985673
19,12,0.3332778629985673,0.0,0,0.3332778629985673
13,15,0.15172955250669845,0.0,1,0.7647014892174726
15,13,0.15172955250669845,0.0,1,0.7647014892174726
13,19,0.6353058370180411,0.0,1,0.7647014892174726
19,13,0.6353058370180411,0.0,1,0.7647014892174726
13,21,0.370301438425158,0.0,0,0.370301438425158
21,13,0.370301438425158,0.0,0,0.370301438425158
13,25,0.4578419899297009,0.0,1,0.7647014892174726
25,13,0.4578419899297009,0.0,1,0.7647014892174726
13,26,0.4960473850667097,0.0,0,0.4960473850667097
26,13,0.4960473850667097,0.0,0,0.4960473850667097
13,32,0.34429317816609223,0.0,0,0.34429317816609223
32,13,0.34429317816609223,0.0,0,0.34429317816609223
14,18,0.7313267035127915,0.0,1,0.7647014892174726
18,14,0.7313267035127915,0.0,1,0.7647014892174726
14,23,0.42715663128906645,0.0,0,0.42715663128906645
23,14,0.42715663128906645,0.0,0,0.42715663128906645
15,25,0.16935071177983255,0.0,1,0.7647014892174726
25,15,0.16935071177983255,0.0,1,0.7647014892174726
16,17,0.249971620028906,0.0,1,0.7647014892174726
17,16,0.249971620028906,0.0,1,0.7647014892174726
16,22,0.114994318796869,0.0,1,0.7647014892174726
22,16,0.114994318796869,0.0,1,0.7647014892174726
16,23,0.1342515063001448,0.0,1,0.7647014892174726
23,16,0.1342515063001448,0.0,1,0.7647014892174726
17,24,0.025798867172683416,0.0,1,0.7647014892174726
24,17,0.025798867172683416,0.0,1,0.7647014892174726
18,23,0.43599079468736435,0.0,1,0.7647014892174726
23,18,0.43599079468736435,0.0,1,0.7647014892174726
18,24,0.27553297482543904,0.0,1,0.7647014892174726
24,18,0.27553297482543904,0.0,1,0.7647014892174726
19,25,0.9128417729550603,0.0,1,0.9128417729550603
25,19,0.9128417729550603,0.0,1,0.9128417729550603
19,29,0.3206051189986001,0.0,0,0.3206051189986001
29,19,0.3206051189986001,0.0,0,0.3206051189986001
19,31,0.31239619877552954,0.0,0,0.31239619877552954
31,19,0.31239619877552954,0.0,0,0.31239619877552954
19,32,0.49167340682415084,0.0,0,0.49167340682415084
32,19,0.49167340682415084,0.0,0,0.49167340682415084
20,21,0.2848718741443727,0.0,1,0.7647014892174726
21,20,0.2848718741443727,0.0,1,0.7647014892174726
20,24,0.07653248106519787,0.0,1,0.7647014892174726
24,20,0.07653248106519787,0.0,1,0.7647014892174726
21,26,0.2743954916576541,0.0,1,0.7647014892174726
26,21,0.2743954916576541,0.0,1,0.7647014892174726
21,28,0.022657640424145347,0.0,1,0.7647014892174726
28,21,0.022657640424145347,0.0,1,0.7647014892174726
21,29,0.3121853165997713,0.0,0,0.3121853165997713
29,21,0.3121853165997713,0.0,0,0.3121853165997713
21,30,0.06308434705220892,0.0,1,0.7647014892174726
