Feature,Statistic (U),Raw p-value,Corrected p-value,Significant
HR,21072867576.5,0.0,0.0,True
O2Sat,16340111857.5,0.00012633566392631458,0.0001952460260679407,True
Temp,2919187497.0,4.6144547496458124e-232,5.22971538293192e-231,True
SBP,14386694608.0,1.7530726312747855e-69,8.514924209048958e-69,True
MAP,15354814238.5,4.621038089464674e-129,3.927882376044973e-128,True
DBP,9380955025.5,8.709852180155787e-90,5.9226994825059345e-89,True
Resp,18053705860.5,0.0,0.0,True
EtCO2,78307344.0,5.6537316308706865e-05,9.153660735695397e-05,True
BaseExcess,122088156.5,2.0964818750898543e-06,3.751599144897634e-06,True
HCO3,51823355.0,0.0002539858019640196,0.0003598132194490277,True
FiO2,335822382.5,2.440269570152209e-21,7.542651398652283e-21,True
pH,198175963.0,0.015425159361184758,0.018730550652867207,True
PaCO2,132294856.5,0.4094901063684284,0.4350832380164552,False
SaO2,46328728.5,0.4088983714079598,0.4350832380164552,False
AST,12242409.5,3.4207832547660667e-09,6.841566509532133e-09,True
BUN,160415189.5,7.127604267704501e-80,4.038975751699217e-79,True
Alkalinephos,11851504.0,1.1071532457097703e-06,2.091289464118455e-06,True
Calcium,92748021.0,1.3337965344482627e-28,4.534908217124093e-28,True
Chloride,62996312.5,0.0037143183055664613,0.005051472895570387,True
Creatinine,117654836.0,2.9509369599822456e-45,1.2541482079924544e-44,True
Bilirubin_direct,210411.0,0.01055417844075782,0.013290446925398738,True
Glucose,685993540.5,2.0285579370143217e-05,3.448548492924347e-05,True
Lactate,37508186.0,0.01958556878983818,0.022962390994982693,True
Magnesium,116961895.5,0.05783024373152681,0.06554094289573038,False
Phosphate,52606650.0,0.00015904715090744932,0.00023511317960231637,True
Potassium,259187406.0,0.9884961354846629,0.9884961354846629,False
Bilirubin_total,10573300.0,1.6638729994813223e-17,4.714306831863746e-17,True
TroponinI,2329903.0,0.8304896665934776,0.8556560201266132,False
Hct,196386423.5,1.82760939546066e-10,3.8836699653539024e-10,True
Hgb,138230134.0,1.3673654638367609e-12,3.5761865977269133e-12,True
PTT,30206480.0,5.309002418351762e-11,1.203373881493066e-10,True
WBC,129659389.0,1.7138008037153362e-34,6.474358591813492e-34,True
Fibrinogen,1777777.5,0.007081141325114593,0.009259954040534469,True
Platelets,86426877.5,1.428199425060744e-11,3.468484318004664e-11,True
