Feature,Class,Count,Missing Count,Observation Rate,Mean,Median,Std,Variance,Min,Max,Q1,Q3,IQR,1st Percentile,99th Percentile
HR,All,1398811,153399,0.9011738102447479,84.58144338298742,83.5,17.325242100630785,300.1640138454694,20.0,280.0,72.0,95.5,23.5,50.0,130.0
HR,Sepsis-Positive,25699,2217,0.9205831781057459,90.78524456204522,90.0,19.014659897671677,361.5572910241235,36.0,200.0,77.0,103.0,26.0,52.0,137.01000000000022
HR,Sepsis-Negative,1373112,151182,0.9008183460670973,84.46533378194933,83.0,17.270826391143,298.28144423300154,20.0,280.0,72.0,95.0,23.0,50.0,130.0
O2Sat,All,1349474,202736,0.8693888069268978,97.19395453339598,98.0,2.936924033416265,8.625522778058063,20.0,100.0,96.0,99.5,3.5,89.0,100.0
O2Sat,Sepsis-Positive,25024,2892,0.8964034962028944,96.9944253516624,98.0,3.263210418377344,10.64854223460644,39.0,100.0,95.0,100.0,5.0,87.0,100.0
O2Sat,Sepsis-Negative,1324450,199844,0.8688940584952771,97.19772441390765,98.0,2.9302801380769488,8.586541687608262,20.0,100.0,96.0,99.5,3.5,89.0,100.0
Temp,All,525226,1026984,0.33837302942256525,36.97722824079539,37.0,0.7700142522298892,0.5929219486371553,20.9,50.0,36.5,37.5,1.0,35.1,38.8
Temp,Sepsis-Positive,9476,18440,0.3394469121650666,37.250812579147315,37.3,1.0520707834138292,1.1068529333129884,30.5,40.9,36.6,38.0,1.3999999999999986,34.0,39.56
Temp,Sepsis-Negative,515750,1008544,0.33835336227788076,36.97220160930684,37.0,0.7629423439928242,0.5820810202572649,20.9,50.0,36.5,37.5,1.0,35.11,38.8
SBP,All,1325945,226265,0.8542304198529838,123.7504653963776,121.0,23.23155567596139,539.7051791252939,20.0,300.0,107.0,138.0,31.0,80.0,186.0
SBP,Sepsis-Positive,23674,4242,0.8480441323971916,121.44598166765228,118.0,24.988266523607788,624.4134638548576,25.0,280.0,103.0,137.0,34.0,74.1825,189.13500000000022
SBP,Sepsis-Negative,1302271,222023,0.8543437158448436,123.79235863349486,121.0,23.196280889526204,538.0674471057986,20.0,300.0,107.0,138.0,31.0,80.0,186.0
MAP,All,1358940,193270,0.8754872085606973,82.40009988667637,80.0,16.34175019245082,267.0527993524665,20.0,300.0,71.0,92.0,21.0,52.0,128.0
MAP,Sepsis-Positive,25265,2651,0.9050365381859865,80.1684896101326,78.0,16.62769529471675,276.48025081394564,22.0,280.0,68.5,90.0,21.5,49.0,126.0
MAP,Sepsis-Negative,1333675,190619,0.8749460405932189,82.44237527883482,80.0,16.33334884182721,266.77828438881824,20.0,300.0,71.0,92.0,21.0,52.0,128.0
DBP,All,1065656,486554,0.6865411252343433,63.83055577034239,62.0,13.956010079101096,194.7702173279714,20.0,300.0,54.0,72.0,18.0,38.0,103.0
DBP,Sepsis-Positive,19573,8343,0.7011391316807566,62.01884841363102,60.0,14.10243540083721,198.8786842347866,21.0,274.0,52.0,70.0,18.0,36.0,101.0
DBP,Sepsis-Negative,1046083,478211,0.6862737765811582,63.86445417811013,62.0,13.951020454022382,194.63097170855087,20.0,300.0,54.0,72.0,18.0,38.0,103.0
Resp,All,1313875,238335,0.8464544101635733,18.72649785557987,18.0,5.09819361655326,25.991578151864413,1.0,100.0,15.0,21.5,6.5,9.0,34.0
Resp,Sepsis-Positive,23912,4004,0.8565697091273822,20.46037554366009,20.0,6.141854777730261,37.72238011072803,1.0,76.0,16.0,24.0,8.0,9.0,38.0
Resp,Sepsis-Negative,1289963,234331,0.8462691580495626,18.694357024193714,18.0,5.071231842881748,25.71739240425782,1.0,100.0,15.0,21.0,6.0,9.0,34.0
EtCO2,All,57636,1494574,0.037131573691704084,32.95765667291276,33.0,7.951662123747312,63.228930530237605,10.0,100.0,28.0,38.0,10.0,13.0,52.0
EtCO2,Sepsis-Positive,2997,24919,0.10735778764866026,32.43426760093427,33.0,7.654790089929913,58.5958113208892,10.0,66.0,27.5,37.0,9.5,13.0,51.0
EtCO2,Sepsis-Negative,54639,1469655,0.035845447138150514,32.98636505060488,33.0,7.9666987144395565,63.46828840665288,10.0,100.0,28.5,38.0,9.5,13.0,52.0
BaseExcess,All,84145,1468065,0.054209804085787364,-0.6899191871174758,0.0,4.294297421388696,18.440990343345604,-32.0,100.0,-3.0,1.0,4.0,-13.0,11.0
BaseExcess,Sepsis-Positive,2856,25060,0.10230692076228685,-0.352468487394958,0.0,4.962375430319732,24.62516991144094,-18.0,21.0,-3.0,3.0,6.0,-14.0,12.0
BaseExcess,Sepsis-Negative,81289,1443005,0.05332895097664886,-0.7017751479289941,0.0,4.2684745300374365,18.21987481357831,-32.0,100.0,-3.0,1.0,4.0,-13.0,11.0
HCO3,All,65028,1487182,0.04189381591408379,24.07548056221935,24.0,4.376503698155012,19.15378461996449,0.0,55.0,22.0,26.8,4.800000000000001,13.0,36.0
HCO3,Sepsis-Positive,1726,26190,0.06182834216936524,23.702143684820395,24.0,4.916892919482948,24.175835981661546,5.0,45.0,20.6875,27.0,6.3125,12.0,36.0
HCO3,Sepsis-Negative,63302,1460992,0.041528733958147185,24.085660010742156,24.0,4.360427555681404,19.013328468345698,0.0,55.0,22.0,26.4,4.399999999999999,13.0,36.0
FiO2,All,129365,1422845,0.08334246010526926,0.5548386348703284,0.5,11.123206953412934,123.72573292845384,-50.0,4000.0,0.4,0.6,0.19999999999999996,0.21,1.0
FiO2,Sepsis-Positive,5020,22896,0.17982518985528012,0.55247609561753,0.5,0.20712951121343345,0.04290263441551586,0.05,2.0,0.4,0.6,0.19999999999999996,0.28,1.0
FiO2,Sepsis-Negative,124345,1399949,0.08157547034889595,0.5549340142345894,0.5,11.34544139205637,128.719040380586,-50.0,4000.0,0.4,0.6,0.19999999999999996,0.21,1.0
pH,All,107573,1444637,0.06930312264448754,7.378934026196165,7.38,0.07456771045420385,0.005560343442381983,6.62,7.93,7.34,7.43,0.08999999999999986,7.15,7.53
pH,Sepsis-Positive,3730,24186,0.13361513110760853,7.377109919571045,7.39,0.09016662406155053,0.008130020094656984,6.81,7.62,7.33,7.44,0.11000000000000032,7.0929,7.54
pH,Sepsis-Negative,103843,1420451,0.0681253091595191,7.378999547393661,7.38,0.07394589408613461,0.005467995252197837,6.62,7.93,7.34,7.43,0.08999999999999986,7.15,7.53
PaCO2,All,86301,1465909,0.05559879140064811,41.021868808009174,40.0,9.26724192251965,85.88177285050571,10.0,100.0,35.0,45.0,10.0,24.0,76.0
PaCO2,Sepsis-Positive,3155,24761,0.11301762430147586,41.72285261489699,40.0,11.226365822348422,126.03128957719277,15.0,100.0,35.0,46.0,11.0,23.0,85.0
PaCO2,Sepsis-Negative,83146,1441148,0.054547219893275184,40.99526976643495,40.0,9.183704676794893,84.34043159058437,10.0,100.0,35.4,45.0,9.600000000000001,24.0,75.0
SaO2,All,53561,1498649,0.034506284587781294,92.65418774854838,97.0,10.892985861381211,118.65714097625096,23.0,100.0,94.0,98.0,4.0,53.0,99.8
SaO2,Sepsis-Positive,1811,26105,0.06487319100157615,93.23564329099945,97.0,9.90724766027226,98.15355620197016,23.0,100.0,93.95,98.0,4.049999999999997,54.0,99.7
SaO2,Sepsis-Negative,51750,1472544,0.033950143476258514,92.63383961352658,97.0,10.925398489864673,119.36433216233729,24.0,100.0,94.1,98.0,3.9000000000000057,53.0,99.8
AST,All,25183,1527027,0.01622396454088042,260.22338482309493,41.0,855.7467949591072,732302.5770827843,3.0,9961.0,22.0,111.0,89.0,10.0,5002.980000000003
AST,Sepsis-Positive,904,27012,0.032382862874337295,294.83185840707966,53.0,905.4144923939941,819775.4030370741,5.0,9602.0,28.0,128.25,100.25,11.0,4657.260000000004
AST,Sepsis-Negative,24279,1500015,0.01592802963207885,258.9347790271428,41.0,853.8342943828717,729033.0022642964,3.0,9961.0,22.0,110.0,88.0,10.0,5003.420000000013
BUN,All,106568,1445642,0.06865565870597407,23.91545210569777,17.0,19.994316834263156,399.772705668899,1.0,268.0,12.0,28.0,16.0,4.0,103.0
BUN,Sepsis-Positive,2528,25388,0.09055738644504943,30.77373417721519,24.0,23.128895684220936,534.9458155715738,1.0,182.0,14.0,40.0,26.0,4.27,117.0
BUN,Sepsis-Negative,104040,1420254,0.06825454931922582,23.748807189542482,17.0,19.882722478540124,395.3226531586447,1.0,268.0,12.0,28.0,16.0,4.0,102.0
Alkalinephos,All,24941,1527269,0.016068057801457276,102.48366144100076,74.0,120.12274631275132,14429.474181717611,7.0,3833.0,54.0,108.0,54.0,25.0,555.0
Alkalinephos,Sepsis-Positive,900,27016,0.03223957587046855,110.84333333333333,82.0,103.25586442068861,10661.773537263627,7.0,1185.0,57.0,121.0,64.0,25.990000000000002,554.0
Alkalinephos,Sepsis-Negative,24041,1500253,0.015771891774159053,102.1707083731958,73.0,120.69903533300362,14568.257130317656,11.0,3833.0,54.0,108.0,54.0,25.0,557.7999999999956
Calcium,All,91331,1460879,0.05883933230683992,7.557530849328266,8.3,2.433151846123462,5.920227906294012,1.0,27.9,7.7,8.7,0.9999999999999991,1.07,10.5
Calcium,Sepsis-Positive,2404,25512,0.08611548932511821,6.966726289517472,8.1,2.9102441315966106,8.469520905492509,1.0,20.0,7.074999999999999,8.6,1.5250000000000004,1.05,11.19699999999998
Calcium,Sepsis-Negative,88927,1435367,0.05833979534131867,7.573502310884208,8.3,2.416964021947168,5.84171508338703,1.0,27.9,7.7,8.8,1.1000000000000005,1.08,10.5
