Window,Available Observations,Missingness,Feature Variance,Sequence Length
6h,58,0.7156862745098039,48.00812916666666,258
12h,100,0.7549019607843137,41.48257336363636,258
24h,193,0.7634803921568627,109.87853254336846,258
48h,390,0.7610294117647058,742.6950579532629,258
6h,42,0.7941176470588235,3.896222916666667,34
12h,80,0.803921568627451,44.93697904040404,34
24h,191,0.7659313725490197,53.80065641810516,34
6h,33,0.8382352941176471,27.411304166666667,134
12h,73,0.821078431372549,81.0928337099567,134
24h,179,0.7806372549019608,50.99481806785574,134
48h,356,0.7818627450980392,51.329265500558655,134
6h,51,0.75,129.17167666666666,19
6h,80,0.6078431372549019,4.69831507936508,31
12h,153,0.625,200.50558279761904,31
6h,36,0.8235294117647058,19.160466666666665,73
12h,54,0.8676470588235294,48.124979100529096,73
24h,126,0.8455882352941176,99.72751136045328,73
48h,219,0.8658088235294118,87.29524955116213,73
6h,45,0.7794117647058824,3.116164102564103,25
12h,82,0.7990196078431373,6.888229403409091,25
6h,39,0.8088235294117647,92.13928571428572,28
12h,85,0.7916666666666666,123.21953901515153,28
6h,14,0.9313725490196079,,104
12h,24,0.9411764705882353,77.72355999999999,104
24h,85,0.8958333333333334,57.57650705128206,104
48h,214,0.8688725490196079,149.8332192692577,104
6h,38,0.8137254901960784,59.26839555555555,61
12h,65,0.8406862745098039,44.598424747474745,61
24h,138,0.8308823529411765,148.7334305432249,61
48h,284,0.8259803921568627,58.14328674290326,61
6h,38,0.8137254901960784,42.30694444444445,23
12h,93,0.7720588235294118,24.861883116883114,23
6h,45,0.7794117647058824,32.095370370370375,69
12h,100,0.7549019607843137,16.11725725677831,69
24h,170,0.7916666666666666,20.96155121691789,69
48h,404,0.7524509803921569,2494.363930703877,69
6h,40,0.803921568627451,83.60075625,97
12h,78,0.8088235294117647,54.69842083333333,97
24h,194,0.7622549019607843,17.46374799711946,97
48h,405,0.7518382352941176,40.05297462903807,97
6h,40,0.803921568627451,59.84738095238095,65
12h,79,0.8063725490196079,73.33124848484849,65
24h,167,0.7953431372549019,67.22856462450594,65
48h,338,0.7928921568627451,69.3767513317331,65
6h,30,0.8529411764705882,55.125,84
12h,65,0.8406862745098039,21.190395833333337,84
24h,158,0.8063725490196079,28.303470093984963,84
48h,328,0.7990196078431373,14.15697944596744,84
6h,115,0.4362745098039216,24.213693269230774,81
12h,174,0.5735294117647058,80.86485940934065,81
24h,272,0.6666666666666666,7243.597046379029,81
48h,485,0.7028186274509803,4568.462922065029,81
6h,38,0.8137254901960784,3.4099199999999996,23
12h,84,0.7941176470588235,14.123322626262627,23
6h,30,0.8529411764705882,31.400000000000002,18
6h,59,0.7107843137254902,66.85295333333333,62
12h,130,0.6813725490196079,50.45496356060606,62
24h,257,0.6850490196078431,54.16956228931955,62
48h,540,0.6691176470588235,36998.16961691305,62
6h,66,0.6764705882352942,8.77739537037037,100
12h,110,0.7303921568627451,9.995323444976076,100
24h,223,0.7267156862745098,81.2984069811258,100
48h,353,0.7837009803921569,57.52328476327704,100
6h,42,0.7941176470588235,13.881633333333333,41
12h,87,0.7867647058823529,10.18743950413223,41
24h,189,0.7683823529411765,14.879706306527186,41
6h,19,0.9068627450980392,28.447259999999993,94
12h,60,0.8529411764705882,61.34932653061225,94
24h,91,0.8884803921568627,29.988732672176308,94
48h,195,0.8805147058823529,879.3589167829774,94
6h,31,0.8480392156862745,31.520876190476194,98
12h,64,0.8431372549019608,31.706158379715525,98
24h,120,0.8529411764705882,28.345411953429593,98
48h,244,0.8504901960784313,11.976488554406094,98
6h,49,0.7598039215686274,19.661568181818183,64
12h,100,0.7549019607843137,31.7667058008658,64
24h,191,0.7659313725490197,36.47484943785683,64
48h,374,0.7708333333333334,165.6797230966141,64
6h,52,0.7450980392156863,18.603635833333335,64
12h,106,0.7401960784313726,12.533214873222018,64
24h,255,0.6875,29.489355033300033,64
48h,440,0.7303921568627451,407.857943770648,64
6h,64,0.6862745098039216,10.493974074074075,147
12h,111,0.7279411764705882,100.8974732034632,147
24h,221,0.7291666666666666,83.6545442694469,147
48h,449,0.7248774509803921,72.25391584329132,147
6h,56,0.7254901960784313,24.908464583333334,44
12h,95,0.7671568627450981,16.57229507575758,44
24h,177,0.7830882352941176,23.9217915037594,44
6h,41,0.7990196078431373,41.84274285714286,148
12h,80,0.803921568627451,29.561662499999997,148
24h,176,0.7843137254901961,44.629317898550724,148
48h,348,0.7867647058823529,33.52206937074842,148
6h,70,0.6568627450980392,11.272437555555557,38
12h,143,0.6495098039215687,86.03081787624141,38
24h,274,0.6642156862745098,62.2548123115115,38
6h,0,1.0,,58
12h,0,1.0,,58
24h,97,0.8811274509803921,14.040965600448933,58
48h,306,0.8125,17.633991427745926,58
6h,51,0.75,1.7047619047619047,214
12h,98,0.7598039215686274,1572.3080016161616,214
24h,175,0.7855392156862745,1369.8843354791554,214
48h,394,0.758578431372549,466.3160066284796,214
6h,43,0.7892156862745098,10.889602777777776,50
12h,69,0.8308823529411765,26.842918834175084,50
24h,144,0.8235294117647058,15.093897122747583,50
6h,55,0.7303921568627451,39.93765625,92
12h,92,0.7745098039215687,36.51751653138528,92
24h,169,0.7928921568627451,78.03250280575092,92
48h,337,0.7935049019607843,63.79043172135204,92
6h,70,0.6568627450980392,39.57140763888889,29
12h,132,0.6764705882352942,27074.5746434303,29
6h,35,0.8284313725490197,8.313598888888889,251
12h,66,0.8382352941176471,98.21659982323234,251
24h,140,0.8284313725490197,76.49229083819563,251
48h,291,0.8216911764705882,26.68575268234158,251
6h,24,0.8823529411764706,91.97050066666668,51
12h,58,0.8578431372549019,149.70397593193846,51
24h,100,0.8774509803921569,92.43554099977996,51
6h,32,0.8431372549019608,10.852777777777776,76
12h,58,0.8578431372549019,12.697035858585858,76
24h,139,0.8296568627450981,13.463536816864297,76
48h,208,0.8725490196078431,10.454261913558527,76
6h,40,0.803921568627451,25.044600000000003,254
12h,80,0.803921568627451,28.91393977272727,254
24h,171,0.7904411764705882,27.71397157155797,254
48h,351,0.7849264705882353,51.49936842578041,254
6h,38,0.8137254901960784,85.64444444444445,93
12h,96,0.7647058823529411,58.0287284090909,93
24h,166,0.7965686274509803,58.119919792490116,93
48h,347,0.7873774509803921,61.28944204745978,93
6h,52,0.7450980392156863,11.950011111111111,27
12h,126,0.6911764705882353,13.022802028985508,27
6h,46,0.7745098039215687,22.625680000000003,117
12h,93,0.7720588235294118,38.98871795454545,117
24h,222,0.7279411764705882,18.48993566252588,117
48h,468,0.7132352941176471,32.00486776927315,117
6h,37,0.8186274509803921,29.44666666666667,68
12h,55,0.8651960784313726,29.319674074074072,68
24h,97,0.8811274509803921,56.626802230248835,68
48h,234,0.8566176470588235,70.43879913943722,68
6h,37,0.8186274509803921,48.199999999999996,57
12h,78,0.8088235294117647,42.47257537878788,57
24h,169,0.7928921568627451,215.8606318078299,57
48h,311,0.8094362745098039,105.61828329741157,57
6h,32,0.8431372549019608,24.76233111111111,38
